route_name,route_pattern,view,surface_kind,audit_boundary
core:logout,logout,sbomify.apps.core.views.logout,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
core:login_error,login_error,sbomify.apps.core.views.login_error,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:keycloak_login,login/,sbomify.apps.core.views.keycloak_login,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:,products,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:,components,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:,product/<str:product_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:,component/<str:component_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:,public/product/<str:product_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:,public/component/<str:component_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:products_dashboard,products/,sbomify.apps.core.views.products_dashboard.ProductsDashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:product_new,products/new/,sbomify.apps.core.views.products_dashboard.ProductCreateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:products_table,products/table/,sbomify.apps.core.views.products_dashboard.ProductsTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:product_details,product/<str:product_id>/,sbomify.apps.core.views.product_details_private.ProductDetailsPrivateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:product_details_public,public/product/<str:product_id>/,sbomify.apps.core.views.product_details_public.ProductDetailsPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:product_identifiers,product/<str:product_id>/identifiers/,sbomify.apps.core.views.product_identifiers.ProductIdentifiersView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:product_links,product/<str:product_id>/links/,sbomify.apps.core.views.product_links.ProductLinksView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:product_lifecycle,product/<str:product_id>/lifecycle/,sbomify.apps.core.views.product_lifecycle.ProductLifecycleView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:product_link_redirect,public/link/<str:link_id>/,sbomify.apps.core.views.product_links.ProductLinkRedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
core:components_dashboard,components/,sbomify.apps.core.views.components_dashboard.ComponentsDashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:component_new,components/new/,sbomify.apps.core.views.components_dashboard.ComponentCreateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:components_table,components/table/,sbomify.apps.core.views.components_dashboard.ComponentsTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:component_details,component/<str:component_id>/,sbomify.apps.core.views.component_details_private.ComponentDetailsPrivateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:component_scope,component/<str:component_id>/scope,sbomify.apps.core.views.component_scope.ComponentScopeView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:releases_dashboard,releases/,sbomify.apps.core.views.releases_dashboard.ReleasesDashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:releases_table,releases/table/,sbomify.apps.core.views.releases_dashboard.ReleasesTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:security_advisories_dashboard,security-advisories/,sbomify.apps.core.views.security_advisories.SecurityAdvisoriesDashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:security_advisories_table,security-advisories/table/,sbomify.apps.core.views.security_advisories.SecurityAdvisoriesTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:security_advisory_new,security-advisories/new/,sbomify.apps.core.views.security_advisories.SecurityAdvisoryCreateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:security_advisory_detail,security-advisories/<str:advisory_id>/,sbomify.apps.core.views.security_advisories.SecurityAdvisoryDetailView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:component_details_public,public/component/<str:component_id>/,sbomify.apps.core.views.component_details_public.ComponentDetailsPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:workspace_public,public/workspace/<str:workspace_key>/,sbomify.apps.core.views.workspace_public.WorkspacePublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:workspace_public_current,public/workspace/,sbomify.apps.core.views.workspace_public.WorkspacePublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:workspace_advisories_public,public/workspace/<str:workspace_key>/advisories/,sbomify.apps.core.views.trust_center_advisories.TrustCenterAdvisoriesView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:advisory_details_public,public/workspace/<str:workspace_key>/advisories/<str:advisory_id>/,sbomify.apps.core.views.trust_center_advisories.TrustCenterAdvisoryDetailView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:workspace_advisories_public_current,advisories/,sbomify.apps.core.views.trust_center_advisories.TrustCenterAdvisoriesView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:advisory_details_public_current,advisories/<str:advisory_id>/,sbomify.apps.core.views.trust_center_advisories.TrustCenterAdvisoryDetailView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:transfer_component,component/<str:component_id>/transfer,sbomify.apps.core.views.transfer_component_to_team,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
core:product_releases,product/<str:product_id>/releases/,sbomify.apps.core.views.product_releases_private.ProductReleasesPrivateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:product_releases_public,public/product/<str:product_id>/releases/,sbomify.apps.core.views.product_releases_public.ProductReleasesPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:release_details,product/<str:product_id>/release/<str:release_id>/,sbomify.apps.core.views.release_details_private.ReleaseDetailsPrivateView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:release_details_public,public/product/<str:product_id>/release/<str:release_id>/,sbomify.apps.core.views.release_details_public.ReleaseDetailsPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:toggle_public_status,^toggle-public-status/(?P<item_type>component|product)/(?P<item_id>[^/]+)/$,sbomify.apps.core.views.toggle_public_status.TogglePublicStatusView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
core:sbom_download_product,product/<str:product_id>/sbom/download,sbomify.apps.core.views.sbom_download_product,download,Available local GET destinations checked; file content not exhaustively inspected.
core:get_component_metadata,component/<str:component_id>/metadata,sbomify.apps.core.views.get_component_metadata,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:component_metadata_form,component/<str:component_id>/metadata/form/,sbomify.apps.core.views.component_metadata.ComponentMetadataFormView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:support_contact,support/contact/,sbomify.apps.core.views.support_contact,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:support_contact_success,support/contact/success/,sbomify.apps.core.views.support_contact_success,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:search,search/,sbomify.apps.core.views.search.SearchView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
core:component_item,^components/(?P<component_id>[^/]+)/(?P<item_type>sboms|documents|vex|cbom)/(?P<item_id>[^/]+)/$,sbomify.apps.core.views.component_item.ComponentItemView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:component_item_public,^public/components/(?P<component_id>[^/]+)/(?P<item_type>sboms|documents|vex|cbom)/(?P<item_id>[^/]+)/$,sbomify.apps.core.views.component_item.ComponentItemPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
core:design_system,design-system/,sbomify.apps.core.views.design_system.DesignSystemView,developer or machine surface,Outside migrated customer-page interaction scope.
teams:teams_dashboard,workspaces/,sbomify.apps.teams.views.dashboard.WorkspacesDashboardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
teams:switch_team,workspaces/switch/<team_key>/,sbomify.apps.teams.views.switch_team,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
teams:invite_user,workspaces/invite/<team_key>/,sbomify.apps.teams.views.invite,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
teams:accept_invite,workspaces/accept_invite/<invite_token>/,sbomify.apps.teams.views.accept_invite,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
teams:team_membership_delete,workspaces/<membership_id>/leave,sbomify.apps.teams.views.delete_member,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
teams:team_invitation_delete,workspaces/<invitation_id>/uninvite,sbomify.apps.teams.views.delete_invite,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
teams:onboarding_wizard,workspaces/onboarding/,sbomify.apps.teams.views.onboarding_wizard.OnboardingWizardView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
teams:settings_redirect,workspaces/settings/,sbomify.apps.teams.views.settings_redirect,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
teams:team_settings_redirect,workspaces/<team_key>/settings/,sbomify.apps.teams.views.team_settings_redirect,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
teams:team_details,workspaces/<team_key>/details,sbomify.apps.teams.views.team_details,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:vulnerability_scans,workspaces/<team_key>/vulnerability-scans,sbomify.apps.vulnerability_scanning.views_scans.VulnerabilityScansView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
teams:contact_profiles_list,workspaces/<team_key>/contact-profiles,sbomify.apps.teams.views.contact_profiles.ContactProfileView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:suppliers,workspaces/<team_key>/suppliers,sbomify.apps.teams.views.suppliers.SupplierListView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
teams:contact_profiles_form,workspaces/<team_key>/contact-profiles/form,sbomify.apps.teams.views.contact_profiles.ContactProfileFormView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:contact_profiles_detail_form,workspaces/<team_key>/contact-profiles/<profile_id>/form,sbomify.apps.teams.views.contact_profiles.ContactProfileFormView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:team_branding,workspaces/<team_key>/branding,sbomify.apps.teams.views.team_branding.TeamBrandingView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:team_general,workspaces/<team_key>/general,sbomify.apps.teams.views.team_general.TeamGeneralView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:team_custom_domain,workspaces/<team_key>/custom-domain,sbomify.apps.teams.views.team_custom_domain.TeamCustomDomainView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:team_tokens,workspaces/<team_key>/tokens,sbomify.apps.teams.views.team_tokens.TeamTokensView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
teams:ci_token,workspaces/<team_key>/ci-token,sbomify.apps.teams.views.ci_token.CITokenView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
teams:team_settings_tab,workspaces/<team_key>/settings/<slug:tab>,sbomify.apps.teams.views.team_settings.TeamSettingsView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
teams:team_settings,workspaces/<team_key>,sbomify.apps.teams.views.team_settings.TeamSettingsView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
sboms:,products,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,components,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,product/<str:product_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,component/<str:component_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,public/product/<str:product_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,public/component/<str:component_id>,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,products/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,components/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,product/<str:product_id>/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,public/product/<str:product_id>/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,component/<str:component_id>/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,public/component/<str:component_id>/,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,component/<str:component_id>/transfer,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:,product/<str:product_id>/sbom/download,django.views.generic.base.RedirectView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
sboms:sbom_download,sbom/download/<str:sbom_id>,sbomify.apps.sboms.views.sbom_download.SbomDownloadView,download,Available local GET destinations checked; file content not exhaustively inspected.
sboms:sbom_vulnerabilities,sbom/<str:sbom_id>/vulnerabilities,sbomify.apps.sboms.views.sbom_vulnerabilities.SbomVulnerabilitiesView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
sboms:sboms_table,component/<str:component_id>/sboms/,sbomify.apps.sboms.views.sboms_table.SbomsTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
sboms:component_artifacts,component/<str:component_id>/artifacts/,sbomify.apps.sboms.views.component_artifacts.ComponentArtifactsView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
sboms:sboms_table_public,public/component/<str:component_id>/sboms/,sbomify.apps.sboms.views.sboms_table.SbomsTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
sboms:component_vex_documents,component/<str:component_id>/vex/,sbomify.apps.sboms.views.vex_documents.ComponentVexDocumentsView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
sboms:sbom_crypto_inventory,sbom/<str:sbom_id>/crypto-inventory,sbomify.apps.sboms.views.sbom_crypto_inventory.SbomCryptoInventoryView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
sboms:workspace_crypto,workspaces/<str:team_key>/crypto/,sbomify.apps.sboms.views.workspace_crypto.WorkspaceCryptoView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
sboms:component_crypto_posture,component/<str:component_id>/crypto-posture,sbomify.apps.sboms.views.component_crypto_posture.ComponentCryptoPostureView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
documents:document_download,document/download/<str:document_id>,sbomify.apps.documents.views.document_download.DocumentDownloadView,download,Available local GET destinations checked; file content not exhaustively inspected.
documents:documents_table,component/<str:component_id>/documents/,sbomify.apps.documents.views.documents_table.DocumentsTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
documents:documents_table_public,public/component/<str:component_id>/documents/,sbomify.apps.documents.views.documents_table.DocumentsTableView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
documents:request_access,workspace/<str:team_key>/access-request,sbomify.apps.documents.views.access_requests.AccessRequestView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
documents:sign_nda,workspace/<str:team_key>/access-request/<str:request_id>/sign-nda,sbomify.apps.documents.views.access_requests.NDASigningView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
documents:access_request_queue,workspace/<str:team_key>/access-requests,sbomify.apps.documents.views.access_requests.AccessRequestQueueView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
onboarding:select_plan,onboarding/select-plan/,sbomify.apps.onboarding.views.OnboardingPlanSelectionView,redirect/alias,Destination source reviewed; representative redirects checked. Not a separate screen.
onboarding:unsubscribe,onboarding/unsubscribe/<str:token>/,sbomify.apps.onboarding.views.UnsubscribeView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
billing:create_portal_session,billing/portal/<str:team_key>/,sbomify.apps.billing.views.CreatePortalSessionView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
billing:select_plan,billing/select-plan/<str:team_key>/,sbomify.apps.billing.views.SelectPlanView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
billing:enterprise_contact,billing/enterprise-contact/,sbomify.apps.billing.views.EnterpriseContactView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
billing:billing_return,billing/return/,sbomify.apps.billing.views.BillingReturnView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
billing:checkout_success,billing/checkout/success/,sbomify.apps.billing.views.CheckoutSuccessView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
billing:checkout_cancel,billing/checkout/cancel/,sbomify.apps.billing.views.CheckoutCancelView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
billing:webhook,billing/webhook/,sbomify.apps.billing.views.StripeWebhookView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
controls:catalog_action,controls/<team_key>/catalog,sbomify.apps.controls.views.ControlsCatalogView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
controls:status_update,controls/<team_key>/status,sbomify.apps.controls.views.ControlsStatusView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
controls:bulk_category_update,controls/<team_key>/bulk-category,sbomify.apps.controls.views.BulkCategoryUpdateView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
controls:product_status_update,controls/<team_key>/product/<product_id>/status,sbomify.apps.controls.views.ProductControlsStatusView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
plugins:plugins_page,plugins/,sbomify.apps.plugins.views.PluginsPageView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
plugins:plugins_summary,plugins/summary/,sbomify.apps.plugins.views.PluginsSummaryView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
plugins:team_plugin_settings,plugins/settings/<team_key>,sbomify.apps.plugins.views.TeamPluginSettingsView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
compliance:cra_product_list,compliance/cra/,sbomify.apps.compliance.views.cra_product_list.CRAProductListView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
compliance:cra_scope_screening,compliance/cra/scope/<str:product_id>/,sbomify.apps.compliance.views.cra_wizard.CRAScopeScreeningView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
compliance:cra_start_assessment,compliance/cra/start/<str:product_id>/,sbomify.apps.compliance.views.cra_wizard.CRAStartAssessmentView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
compliance:cra_wizard_shell,compliance/cra/<str:assessment_id>/,sbomify.apps.compliance.views.cra_wizard.CRAWizardShellView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
compliance:cra_step,compliance/cra/<str:assessment_id>/step/<int:step>/,sbomify.apps.compliance.views.cra_wizard.CRAStepView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
compliance:product_vdp_public,compliance/public/product/<str:product_id>/vdp/,sbomify.apps.compliance.views.vdp_public.ProductVDPPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
compliance:product_doc_public,compliance/public/product/<str:product_id>/declaration-of-conformity/,sbomify.apps.compliance.views.doc_public.ProductDoCPublicView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
vulnerability_scanning:vulnerability_trends,vulnerability-trends/,sbomify.apps.vulnerability_scanning.views.vulnerability_trends.VulnerabilityTrendsView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
vulnerability_scanning:vulnerability_scans,workspaces/<str:team_key>/vulnerability-scans/,sbomify.apps.vulnerability_scanning.views_scans.VulnerabilityScansView,page or page entry point,See page-family coverage in ui-action-audit.md and URL sweep inventory. Conditional states are distinguished there.
oidc:trusted_publishers,components/<str:component_id>/trusted-publishers/,sbomify.apps.oidc.views.TrustedPublishersView,fragment/data endpoint (may also accept mutations),Owning-page composition and handler wiring reviewed; not a standalone screen.
oidc:trusted_publisher_delete,components/<str:component_id>/trusted-publishers/<str:binding_id>/delete/,sbomify.apps.oidc.views.TrustedPublisherDeleteView,action or external hand-off,Handler/consumer wiring reviewed; not submitted on the live account.
,^static/(?P<path>.*)$,django.contrib.staticfiles.views.serve,developer or machine surface,Outside migrated customer-page interaction scope.
